timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
17250433,,,50000.000,,,50000.000,0
17300433,,,50000.000,,,50000.000,0
17350433,,,50000.000,,,50000.000,0
17400433,,,50000.000,,,50000.000,0
17450433,,,50000.000,,,50000.000,0
17500433,,,50000.000,,,50000.000,0
17550433,,,50000.000,,,50000.000,0
17600433,,,50000.000,,,50000.000,0
17650433,,,50000.000,,,50000.000,0
17700433,,,50000.000,,,50000.000,0
17750433,,,50000.000,,,50000.000,0
17800433,,,50000.000,,,50000.000,0
17850433,,,50000.000,,,50000.000,0
17900433,,,50000.000,,,50000.000,0
17950433,,,50000.000,,,50000.000,0
18000433,,,50000.000,,,50000.000,0
18050433,,,50000.000,,,50000.000,0
18100433,,,50000.000,,,50000.000,0
18150433,,,50000.000,,,50000.000,0
18200433,,,50000.000,,,50000.000,0
18250433,,,50000.000,,,50000.000,0
18300433,,,50000.000,,,50000.000,0
18350433,,,50000.000,,,50000.000,0
18400433,,,50000.000,,,50000.000,0
18450433,,,50000.000,,,50000.000,0
18500433,,,50000.000,,,50000.000,0
18550433,,,50000.000,,,50000.000,0
18600433,,,50000.000,,,50000.000,0
18650433,,,50000.000,,,50000.000,0
18700433,,,50000.000,,,50000.000,0
18750433,,,50000.000,,,50000.000,0
18800433,,,50000.000,,,50000.000,0
18850433,,,50000.000,,,50000.000,0
18900433,,,50000.000,,,50000.000,0
18950433,,,50000.000,,,50000.000,0
19000433,,,50000.000,,,50000.000,0
19050433,,,50000.000,,,50000.000,0
19100433,,,50000.000,,,50000.000,0
19150433,,,50000.000,,,50000.000,0
19200433,,,50000.000,,,50000.000,0
19250433,,,50000.000,,,50000.000,0
19300433,,,50000.000,,,50000.000,0
19350433,,,50000.000,,,50000.000,0
19400433,,,50000.000,,,50000.000,0
19450433,,,50000.000,,,50000.000,0
19500433,,,50000.000,,,50000.000,0
19550433,,,50000.000,,,50000.000,0
19600433,,,50000.000,,,50000.000,0
19650433,,,50000.000,,,50000.000,0
19700433,,,50000.000,,,50000.000,0
19750433,,,50000.000,,,50000.000,0
19800433,,,50000.000,,,50000.000,0
19850433,,,50000.000,,,50000.000,0
19900433,,,50000.000,,,50000.000,0
19950433,,,50000.000,,,50000.000,0
20000433,,,50000.000,,,50000.000,0
20050433,,,50000.000,,,50000.000,0
20100433,,,50000.000,,,50000.000,0
20150433,,,50000.000,,,50000.000,0
20200433,,,50000.000,,,50000.000,0
20250433,,,50000.000,,,50000.000,0
20300433,,,50000.000,,,50000.000,0
20350433,,,50000.000,,,50000.000,0
20400433,,,50000.000,,,50000.000,0
20450433,,,50000.000,,,50000.000,0
20500433,,,50000.000,,,50000.000,0
20550433,,,50000.000,,,50000.000,0
20600433,,,50000.000,,,50000.000,0
20650433,,,50000.000,,,50000.000,0
20700433,,,50000.000,,,50000.000,0
20750433,,,50000.000,,,50000.000,0
20800433,,,50000.000,,,50000.000,0
20850433,,,50000.000,,,50000.000,0
20900433,,,50000.000,,,50000.000,0
20950433,,,50000.000,,,50000.000,0
21000433,,,50000.000,,,50000.000,0
21050433,,,50000.000,,,50000.000,0
21100433,,,50000.000,,,50000.000,0
21150433,,,50002.000,,,50000.000,0
21200447,,,50000.000,,,50000.000,0
21250433,,,49999.000,,,50000.000,0
21300454,,,50000.000,,,49999.000,0
21350453,,,49999.000,,,49999.000,0
21400474,,,50000.000,,,50000.000,0
21450431,,,50000.000,,,50000.000,0
21500431,,,50000.000,,,50000.000,0
21550431,,,50000.000,,,50000.000,0
21600431,,,50000.000,,,50000.000,0
21650431,,,50000.000,,,50000.000,0
21700431,,,50000.000,,,50000.000,0
21750431,,,50000.000,,,50000.000,0
21800431,,,50000.000,,,50000.000,0
21850431,,,50000.000,,,50000.000,0
21900431,,,50000.000,,,50000.000,0
21950431,,,50000.000,,,50000.000,0
22000431,,,50000.000,,,50000.000,0
22050431,,,50000.000,,,50000.000,0
22100431,,,50000.000,,,50000.000,0
22150431,,,50000.000,,,50000.000,0
22200431,,,50000.000,,,50000.000,0
22250431,,,50000.000,,,50000.000,0
22300431,,,50000.000,,,50000.000,0
22350431,,,50000.000,,,50000.000,0
22400431,,,50000.000,,,50000.000,0
22450431,,,50000.000,,,50000.000,0
22500431,,,50000.000,,,50000.000,0
22550431,,,50000.000,,,50000.000,0
22600431,,,50000.000,,,50000.000,0
22650431,,,50000.000,,,50000.000,0
22700431,,,50000.000,,,50000.000,0
22750431,,,50000.000,,,50000.000,0
22800431,,,50000.000,,,50000.000,0
22850431,,,50000.000,,,50000.000,0
22900431,,,50000.000,,,50000.000,0
22950431,,,50000.000,,,50000.000,0
23000431,,,50000.000,,,50000.000,0
23050431,,,50000.000,,,50000.000,0
23100431,,,50000.000,,,50000.000,0
23150431,,,50000.000,,,50000.000,0
23200431,,,50000.000,,,50000.000,0
23250431,,,50000.000,,,50000.000,0
23300431,,,50000.000,,,50000.000,0
23350431,,,50000.000,,,50000.000,0
23400431,,,50000.000,,,50000.000,0
23450431,,,50000.000,,,50000.000,0
23500431,,,50000.000,,,50000.000,0
23550431,,,50000.000,,,50000.000,0
23600431,,,50000.000,,,50000.000,0
23650431,,,50000.000,,,50000.000,0
23700431,,,50000.000,,,50000.000,0
23750431,,,50000.000,,,50000.000,0
23800431,,,50000.000,,,50000.000,0
23850431,,,50000.000,,,50000.000,0
23900431,,,50000.000,,,50000.000,0
23950431,,,50000.000,,,50000.000,0
24000431,,,50000.000,,,50000.000,0
24050431,,,50000.000,,,50000.000,0
24100431,,,50000.000,,,50000.000,0
24150431,,,50000.000,,,50000.000,0
24200431,,,50000.000,,,50000.000,0
24250431,,,50000.000,,,50000.000,0
24300431,,,50000.000,,,50000.000,0
24350431,,,50000.000,,,50000.000,0
24400431,,,50000.000,,,50000.000,0
24450431,,,50000.000,,,50000.000,0
24500431,,,50000.000,,,50000.000,0
24550431,,,50000.000,,,50000.000,0
24600431,,,50000.000,,,50000.000,0
24650431,,,50000.000,,,50000.000,0
24700431,,,50000.000,,,50000.000,0
24750431,,,50000.000,,,50000.000,0
24800431,,,50000.000,,,50000.000,0
24850431,,,50000.000,,,50000.000,0
24900431,,,50000.000,,,50000.000,0
24950431,,,50000.000,,,50000.000,0
25000431,,,50000.000,,,50000.000,1
25050431,,,50000.000,,,50000.000,1
25100431,,,50000.000,,,50000.000,0
25150431,,,50000.000,,,50000.000,0
25200431,,,50000.000,,,50000.000,0
25250431,,,50000.000,,,50000.000,0
25300431,,,50000.000,,,50000.000,0
25350431,,,50000.000,,,50000.000,0
25400431,,,50000.000,,,50000.000,0
25450431,,,50000.000,,,50000.000,0
25500431,,,50000.000,,,50000.000,0
25550431,,,50000.000,,,50000.000,0
25600431,,,50000.000,,,50000.000,0
25650431,,,50000.000,,,50000.000,0
25700431,,,50000.000,,,50000.000,0
25750431,,,50000.000,,,50000.000,0
25800431,,,50000.000,,,50000.000,0
25850431,,,50000.000,,,50000.000,0
25900431,,,50000.000,,,50000.000,0
25950431,,,50000.000,,,50000.000,0
26000431,,,50000.000,,,50000.000,0
26050431,,,50000.000,,,50000.000,0
26100431,,,50000.000,,,50000.000,0
26150431,,,50000.000,,,50000.000,0
26200431,,,50000.000,,,50000.000,0
26250431,,,50000.000,,,50000.000,0
26300431,,,50000.000,,,50000.000,0
26350431,,,50000.000,,,50000.000,0
26400431,,,50000.000,,,50000.000,0
26450431,,,50000.000,,,50000.000,0
26500431,,,50000.000,,,50000.000,0
26550431,,,50000.000,,,50000.000,0
26600431,,,50000.000,,,50000.000,0
26650431,,,50000.000,,,50000.000,0
26700431,,,50000.000,,,50000.000,0
26750431,,,50000.000,,,50000.000,0
26800431,,,50000.000,,,50000.000,0
26850431,,,50000.000,,,50000.000,0
26900431,,,50000.000,,,50000.000,0
26950431,,,50000.000,,,50000.000,0
27000431,,,50000.000,,,50000.000,0
27050431,,,50000.000,,,50000.000,0
27100431,,,50000.000,,,50000.000,0
27150431,,,50000.000,,,50000.000,0
27200431,,,50000.000,,,50000.000,0
27250431,,,50000.000,,,50000.000,0
27300431,,,50000.000,,,50000.000,0
27350431,,,50000.000,,,50000.000,0
27400431,,,50000.000,,,50000.000,0
27450431,,,50000.000,,,50000.000,0
27500431,,,50000.000,,,50000.000,0
27550431,,,50000.000,,,50000.000,0
27600431,,,50000.000,,,50000.000,0
27650431,,,50000.000,,,50000.000,0
27700431,,,50000.000,,,50000.000,0
27750431,,,50000.000,,,50000.000,0
27800431,,,50000.000,,,50000.000,0
27850431,,,50000.000,,,50000.000,0
27900431,,,50000.000,,,50000.000,0
27950431,,,50000.000,,,50000.000,0
28000431,,,50000.000,,,50000.000,0
28050431,,,50000.000,,,50000.000,0
28100431,,,50000.000,,,50000.000,0
28150431,,,50000.000,,,50000.000,0
28200431,,,50000.000,,,50000.000,0
28250431,,,50000.000,,,50000.000,0
28300431,,,50000.000,,,50000.000,0
28350431,,,50000.000,,,50000.000,0
28400431,,,50000.000,,,50000.000,0
28450431,,,50000.000,,,50000.000,0
28500431,,,50000.000,,,50000.000,0
28550431,,,50000.000,,,50000.000,0
28600431,,,50000.000,,,50000.000,0
28650431,,,50000.000,,,50000.000,0
28700431,,,50000.000,,,50000.000,0
28750431,,,50000.000,,,50000.000,0
28800431,,,50000.000,,,50000.000,0
28850431,,,50000.000,,,50000.000,0
28900431,,,50000.000,,,50000.000,0
28950431,,,50000.000,,,50000.000,0
29000431,,,50000.000,,,50000.000,0
29050431,,,50000.000,,,50000.000,0
29100431,,,50000.000,,,50000.000,0
29150431,,,50000.000,,,50000.000,0
29200431,,,50000.000,,,50000.000,0
29250431,,,50000.000,,,50000.000,0
29300431,,,50000.000,,,50000.000,0
29350431,,,50000.000,,,50000.000,0
29400431,,,50000.000,,,50000.000,0
29450431,,,50000.000,,,50000.000,0
29500431,,,50000.000,,,50000.000,0
29550431,,,50000.000,,,50000.000,0
29600431,,,50000.000,,,50000.000,0
29650431,,,50000.000,,,50000.000,0
29700431,,,50000.000,,,50000.000,0
29750431,,,50000.000,,,50000.000,0
29800431,,,50000.000,,,50000.000,0
29850431,,,50000.000,,,50000.000,0
29900431,,,50000.000,,,50000.000,0
29950431,,,50000.000,,,50000.000,0
30000431,,,50000.000,,,50000.000,0
30050431,,,50000.000,,,50000.000,0
30100431,,,50000.000,,,50000.000,0
30150431,,,50000.000,,,50000.000,0
30200431,,,50000.000,,,50000.000,0
30250431,,,50000.000,,,50000.000,0
30300431,,,50000.000,,,50000.000,0
30350431,,,50000.000,,,50000.000,0
30400431,,,50000.000,,,50000.000,0
30450431,,,50000.000,,,50000.000,0
30500431,,,50000.000,,,50000.000,0
30550431,,,50000.000,,,50000.000,0
30600431,,,50000.000,,,50000.000,0
30650431,,,50000.000,,,50000.000,0
30700431,,,50000.000,,,50000.000,0
30750431,,,50000.000,,,50000.000,0
30800431,,,50000.000,,,50000.000,0
30850431,,,50000.000,,,50000.000,0
30900431,,,50000.000,,,50000.000,0
30950431,,,50000.000,,,50000.000,0
31000431,,,50000.000,,,50000.000,0
31050431,,,50000.000,,,50000.000,0
31100431,,,50000.000,,,50000.000,0
31150431,,,50000.000,,,50000.000,0
31200431,,,50000.000,,,50000.000,0
31250431,,,50000.000,,,50000.000,0
31300431,,,50000.000,,,50000.000,0
31350431,,,50000.000,,,50000.000,0
31400431,,,50000.000,,,50000.000,0
31450431,,,50000.000,,,50000.000,0
31500431,,,50000.000,,,50000.000,0
31550431,,,50000.000,,,50000.000,0
31600431,,,50000.000,,,50000.000,0
31650431,,,50000.000,,,50000.000,0
31700431,,,50000.000,,,50000.000,0
31750431,,,50000.000,,,50000.000,0
31800431,,,50000.000,,,50000.000,0
31850431,,,50000.000,,,50000.000,0
31900431,,,50000.000,,,50000.000,0
31950431,,,50000.000,,,50000.000,0
32000431,,,50000.000,,,50000.000,0
32050431,,,50000.000,,,50000.000,0
32100431,,,50000.000,,,50000.000,0
32150431,,,50000.000,,,50000.000,0
32200431,,,50000.000,,,50000.000,0
32250431,,,50000.000,,,50000.000,0
32300431,,,50000.000,,,50000.000,0
32350431,,,50000.000,,,50000.000,0
32400431,,,50000.000,,,50000.000,0
32450431,,,50000.000,,,50000.000,0
32500431,,,50000.000,,,50000.000,0
32550431,,,50000.000,,,50000.000,0
32600431,,,50000.000,,,50000.000,0
32650431,,,50000.000,,,50000.000,0
32700431,,,50000.000,,,50000.000,0
32750431,,,50000.000,,,50000.000,0
32800431,,,50000.000,,,50000.000,0
32850431,,,50000.000,,,50000.000,0
32900431,,,50000.000,,,50000.000,0
32950431,,,50000.000,,,50000.000,0
33000431,,,50000.000,,,50000.000,0
33050431,,,50000.000,,,50000.000,0
33100431,,,50000.000,,,50000.000,0
33150431,,,50000.000,,,50000.000,0
33200431,,,50000.000,,,50000.000,0
33250431,,,50000.000,,,50000.000,0
33300431,,,50000.000,,,50000.000,0
33350431,,,50000.000,,,50000.000,0
33400431,,,50000.000,,,50000.000,0
33450431,,,50000.000,,,50000.000,0
33500431,,,50000.000,,,50000.000,0
33550431,,,50000.000,,,50000.000,0
33600431,,,50000.000,,,50000.000,0
33650431,,,50000.000,,,50000.000,0
33700431,,,50000.000,,,50000.000,0
33750431,,,50000.000,,,50000.000,0
33800431,,,50000.000,,,50000.000,0
33850431,,,50000.000,,,50000.000,0
33900431,,,50000.000,,,50000.000,0
33950431,,,50000.000,,,50000.000,0
34000431,,,50000.000,,,50000.000,0
34050431,,,50000.000,,,50000.000,0
34100431,,,50000.000,,,50000.000,0
34150431,,,50000.000,,,50000.000,0
34200431,,,50000.000,,,50000.000,0
34250431,,,50000.000,,,50000.000,0
34300431,,,50000.000,,,50000.000,0
