timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
4181,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4201,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4221,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4241,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4261,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4281,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4301,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4321,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4341,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4361,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4381,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4401,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4421,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4441,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4461,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4481,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4501,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4521,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4541,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4561,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4581,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4601,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4621,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4641,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4661,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4681,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4701,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4721,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4741,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4761,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4781,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4801,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4821,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4841,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4861,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4881,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4901,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4921,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4941,0.000,-7.471,20000.000,160,0.000,0.000,20000.000,32,0
4961,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
4981,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5001,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5021,0.000,-7.471,20000.000,160,0.000,0.000,20000.000,32,0
5041,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5061,0.000,0.000,20000.000,32,0.000,0.000,20002.000,32,0
5081,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5101,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5121,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5141,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5161,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5181,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5201,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5221,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5241,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5261,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5281,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5301,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5321,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5341,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5361,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5381,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5401,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5421,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5441,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5461,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5481,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5501,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5521,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5541,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5561,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5581,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5601,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5621,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5641,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5661,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5681,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5701,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
