timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
11101,762.000,-8830.234,50000.000,47.00,-2465.294,-11586.882,50000.000,59.00,0
11151,381.000,-10690.411,50000.000,42.00,-2898.588,-9898.528,50000.000,90.00,0
11201,-388.471,-12132.234,50000.000,49.00,-2898.588,-6290.235,50000.000,64.00,0
11251,-941.294,-11459.882,50000.000,42.00,-3167.529,-6312.646,50000.000,72.00,0
11301,-1299.882,-11175.999,50000.000,23.00,-3690.470,-7776.882,50000.000,77.00,0
11351,-1277.470,-9935.882,50000.000,29.00,-3593.353,-6566.646,50000.000,32.00,0
11401,-978.647,-7194.176,50000.000,64.00,-1845.235,-3369.235,50000.000,72.00,0
11451,-784.412,-8202.705,50000.000,53.00,-2211.294,-4422.588,50000.000,72.00,0
11501,-627.529,-9539.940,50000.000,40.00,-3092.823,-7829.176,50000.000,62.00,0
11551,-515.471,-7717.117,50000.000,58.00,-3331.882,-9629.588,50000.000,59.00,0
11601,-515.471,-6790.764,50000.000,67.00,-3100.294,-9495.117,50000.000,57.00,0
11651,89.647,-7717.117,50000.000,75.00,-2577.353,-7590.117,50000.000,64.00,0
11701,694.765,-8262.470,50000.000,74.00,-1860.176,-8411.882,50000.000,68.00,0
11751,1815.353,-8001.000,50000.000,61.00,-2009.588,-9345.705,50000.000,52.00,0
11801,1568.823,-2696.882,50000.000,88.00,-941.294,-9390.528,50000.000,56.00,0
11851,2091.765,-1075.765,50000.000,87.00,-455.706,-10130.117,50000.000,59.00,0
11901,2562.412,-5640.294,50000.000,90.00,-806.823,-9554.882,50000.000,76.00,0
11951,2749.176,-9637.059,50000.000,71.00,-978.647,-10279.528,50000.000,65.00,0
12001,2965.823,-11034.058,50000.000,58.00,-1942.353,-11407.588,50000.000,51.00,0
12051,1434.353,-10115.176,50000.000,61.00,-2667.000,-12191.999,50000.000,76.00,0
12101,1703.294,-11317.940,50000.000,78.00,-2995.706,-12408.646,50000.000,80.00,0
12151,791.882,-11519.646,50000.000,55.00,-2853.764,-8583.705,50000.000,84.00,0
12201,-112.059,-10391.588,50000.000,47.00,-2315.882,-6364.941,50000.000,76.00,0
12251,-971.176,-8830.234,50000.000,55.00,-2808.941,-6850.529,50000.000,71.00,0
12301,-1710.765,-8665.882,50000.000,74.00,-3473.823,-8038.353,50000.000,55.00,0
12351,-2465.294,-10115.176,50000.000,37.00,-4542.117,-7769.411,50000.000,77.00,0
12401,-3212.353,-11093.823,50000.000,52.00,-4885.764,-4938.059,50000.000,65.00,0
12451,-3937.000,-11086.353,50000.000,38.00,-5184.588,-2883.647,50000.000,44.00,0
12501,-3847.353,-10458.823,50000.000,54.00,-5363.882,-4549.588,50000.000,60.00,0
12551,-3399.117,-8942.294,50000.000,46.00,-5147.235,-7522.882,50000.000,58.00,0
12601,-3578.412,-10242.176,50000.000,45.00,-5789.706,-7634.940,50000.000,70.00,0
12651,-4459.941,-12692.528,50000.000,52.00,-6193.117,-3697.941,50000.000,76.00,0
12701,-5311.588,-14455.587,50000.000,47.00,-6477.000,-1942.353,50000.000,70.00,0
12751,-5767.294,-14956.116,50000.000,33.00,-7403.353,-4019.176,50000.000,75.00,0
12801,-6073.588,-16091.646,50000.000,38.00,-8434.294,-6290.235,50000.000,64.00,0
12851,-6484.470,-16509.998,50000.000,50.00,-8807.823,-5065.059,50000.000,82.00,0
12901,-7343.588,-15830.176,50000.000,76.00,-7956.176,-2532.529,50000.000,41.00,0
12951,-8232.588,-15747.999,50000.000,46.00,-9517.528,-3570.941,50000.000,65.00,0
13001,-8479.117,-15105.528,50000.000,76.00,-10107.705,-4684.059,50000.000,59.00,0
13051,-8912.411,-14231.470,50000.000,59.00,-10174.940,-4430.059,50000.000,69.00,0
