timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
9171323,-194.235,-37.353,50125.000,-1.992,-1.992,50125.000,t=11.0761156082
9221468,-448.235,-141.941,50127.000,-1.992,-1.992,50128.000,t=11.1262283325
9271607,-373.529,1456.765,50127.000,-1.992,-1.992,50127.000,t=11.1763401031
9321737,-5849.470,-1867.647,50132.000,-1.992,-1.992,50132.000,t=11.2264556884
9371868,0.000,-209.176,50136.000,-1.992,-1.992,50135.000,t=11.2765722274
9421926,29.882,-209.176,50134.000,-1.992,-1.992,50136.000,t=11.3266839981
9472126,29.882,7.471,50132.000,-1.992,-1.992,50130.000,t=11.3767995834
9522230,14.941,179.294,738.000,-1.992,-1.992,1382.000,t=11.4269123077
9523633,0.000,0.000,49382.000,-1.992,-1.992,48738.000,t=11.4770317077
9572242,-134.471,627.529,630.000,-1.992,-1.992,1380.000,t=11.5271444320
9573752,0.000,7.471,49496.000,-1.992,-1.992,48746.000,t=11.5772562026
9622412,89.647,268.941,50126.000,-1.992,-1.992,50126.000,t=11.6273603439
9672634,0.000,29.882,50122.000,-1.992,-1.992,50122.000,t=11.6774721145
9722683,-97.118,0.000,50125.000,-1.992,-1.992,50126.000,t=11.7275838851
9772804,0.000,0.000,50133.000,-1.992,-1.992,50133.000,t=11.7776918411
9822869,0.000,0.000,50138.000,-1.992,-1.992,50138.000,t=11.8278083801
9873017,0.000,0.000,635.000,-1.992,-1.992,1379.000,t=11.8779277801
9874379,0.000,0.000,49496.000,-1.992,-1.992,48751.000,t=11.9280443191
9923145,-89.647,0.000,632.000,-1.992,-1.992,1379.000,t=11.9781599044
9924573,0.000,0.000,49502.000,-1.992,-1.992,48755.000,t=12.0282764434
9973282,-141.941,127.000,50134.000,-1.992,-1.992,50134.000,t=12.0783882141
10023557,-171.824,239.059,50135.000,-1.992,-1.992,50137.000,t=12.1285037994
10073681,37.353,67.235,50131.000,-1.992,-1.992,50129.000,t=12.1786155700
10123802,343.647,201.706,755.000,-1.992,-1.992,1381.000,t=12.2287359237
10125180,7.471,29.882,49376.000,-1.992,-1.992,48751.000,t=12.2788476943
10173921,1942.353,-1725.706,50126.000,-1.992,-1.992,50126.000,t=12.3289680480
10224087,-2032.000,1673.412,783.000,-1.992,-1.992,1379.000,t=12.3790798187
10225445,0.000,104.588,49346.000,-1.992,-1.992,48749.000,t=12.4291877746
10274137,67.235,104.588,704.000,-1.992,-1.992,1380.000,t=12.4792995452
10275564,0.000,0.000,49428.000,-1.992,-1.992,48752.000,t=12.5294122695
10324195,-29.882,134.471,50127.000,-1.992,-1.992,50127.000,t=12.5795202255
